nr,program,short,acronym_1,acronym_2,comment
060017,,,,FaMe,
101679,ET,Mathe 1,,,
101680,ET,Mathe 1,,,
101744,INF,,,AKMath,
101748,,,,AKMath,
103057,TPH,Analysis 1,,,
103058,TPH,,PM2,PraMa2,
103064,TPH,,,LinAlg,
103066,TPH,,,LinAlg,
103088,TPH,Analysis 1,,,
103089,TPH,,PM1,PraMa1,
104261,INF,Analysis,,,
104262,INF,Analysis,,,
104263,INF,,ADM,AlgDM,
104265,INF,,ADM,AlgDM,
104267,INF,Analysis 2,,,
104268,INF,Analysis 2,,,
107254,,Statistik,SWT,,
107369,,Statistik,SWT,,
130001,,Physik 1a,GdP1a,,
130002,,Physik 1b,GdP1b,,
130003,,Physik 2a,GdP2a,,
130004,,Physik 2b,GdP2b,,
130005,TPH,Einführung,,,
134163,,,GET,,
141032,,Reaktortechnik 1,RT1,,
153075,TPH,Chemie,CH,,
164324,TI,,ETG,,
180764,,,SWQS,,
180766,INF,Orientierung,,,
180771,INF,Prolog,,,
181208,,Softskills,,,
182691,,,ETG,,
182695,,,DDCA,,
182696,,,,HWMod,
182709,,,BS,,
182711,,,BS,,
182713,,,EZS,,
182738,ET,Echtzeitsysteme,EZS,,
183123,,,,UsabEng,
183239,,,SEPM,,
183241,,,SEPM,,
183289,,,IID,,
183579,,,TGI,,
183580,,,GDS,,
183594,,,,IntroSec,
184167,,,,VSys,
184228,,Didaktik,,,
184237,,,,VSys,
184686,,,DBS,,
184710,,,,ParComp,
184735,,,EKI,,
184741,,,PSV,,
184783,,,,IntroSec,
185278,,,TIL,,
185A01,,,OOP,,
185A03,,,,FProg,
185A06,,,,FMod,
185A74,WINF,,TGI,,
185A91,,,EP1,,
185A92,,,EP2,,
186822,,,EVC,EinfVisComp,
186866,,,,AlgoDat,
187B12,,Denkweisen,DWI,Denki,
188391,,,OOM,,
188410,,,SEPM,,
188909,,,SEPM,,
188982,,,PET,,
191109,,,,DepSys,
192082,,,,IntroSec,
192125,,,,IntroCrypt,
193127,,,IID,,
194042,,Didaktik,,,
265066,,,DIR,,
265068,,,DIR,,
280239,,,EVR,,
330001,,,GBU,,
330189,,,GO,,
351018,,,TuG,,
387083,,,SuS1,,
389055,,,SuS2,,
