room_code,name
AEEG40,aeeg40-hoersaal-6
AHEG07,aheg07-hs-7-schuette-lihotzky-bi
AE0141,ae0141-hs-8-heinz-parkus
AE0239,ae0239-hs-13-ernst-melan
AE0341,ae0341-hs-17-friedrich-hartmann
AE0238,ae0238-hs-18-czuber
AEU141,aeu141-hoersaal-ae-u1---11
BAU178A,bau178a-gm-1-audi-max
BD01B33,bd01b33-gm-2-radinger-hoersaal
BA02A05,ba02a05-gm-3-vortmann-hoersaal
BD02D32,bd02d32-gm-4-knoller-hoersaal
BAU276A,bau276a-gm-5-praktikum-hs
BD01B41,bd01b41-gm-7-kleiner-schiffbau
BC01A46,bc01a46-seminarraum-lehar-01
BA02G02,ba02g02-seminarraum-ba-02a
BA02A17,ba02a17-seminarraum-ba-02b
CF0235,cf0235-ei-2-pichelmayer-hs
CF0205,cf0205-ei-3-sahulka-hs
CF0229,cf0229-ei-5-hochenegg-hs
CDEG13,cdeg13-ei-7-hoersaal
CDEG08,cdeg08-ei-8-poetzl-hs
CAEG17,caeg17-ei-9-hlawka-hs
CAEG31,caeg31-ei-10-fritz-paschke-hs
DC02H03,dc02h03-fh-hoersaal-1
DA02G15,da02g15-fh-hoersaal-5
DA02K01,da02k01-fh-hoersaal-6
DB02H12,db02h12-fh-8-noebauer-hs
DA02E08,da02e08-sem-r-da-gruen-02-a
DA02F20,da02f20-sem-r-da-gruen-02-c
DEU116,deu116-informatikhoersaal
EBEG09,ebeg09-seminarraum-ebeg-2
HE0102,he0102-seminarraum-fav-01-a
HEEG02,heeg02-fav-hoersaal-1
OA01E29,oa01e29-hs-o221
OC01I27,oc01i27-seminarraum-1
OZEG80,ozeg80-hs-atrium-1
OZEG76,ozeg76-hs-atrium-2
AA0448,aa0448-kuppelsaal
