name,suffix,name_short,alt_name,room_codes,tiss_code,type,parent_name,area,capacity,comment
Foyer 1.OG,,,,AA0139,,circulation_area,,90,,rdb
Foyer 3.OG,,,,AA0339,,circulation_area,,94,,rdb
Karlsplatz - Aula Stiege 1,,,,AAEG39,,circulation_area,,5,,rdb
Karlsplatz - Aula Stiege 2,,,,AAEG06,,circulation_area,,103,,rdb
Aula BA Eingangsbereich,,,,BAEGA01,,circulation_area,,116,,rdb
Aula BA vor Audimax,,,,BAU1C01,,circulation_area,,160,,rdb
Aula BD,,,,BDEGB33,,circulation_area,,142,,rdb
Aula vor EI 7 und EI 8,,,,CDEG09,,circulation_area,,420,,rdb
Aula vor EI 9 und EI 10,,,,CAEG18,,circulation_area,,233,,rdb
Gußhaus - Aula Eingangsbereich,,,,CAEG01,,circulation_area,,335,,rdb
Gußhaus - Dachterrasse,,,,CA0601A,,circulation_area,,965,,rdb
Aula 1.OG gelb,,,,DB01A02,,circulation_area,,345,,rdb
Aula 1.OG grün,,,,DA01A05,,circulation_area,,276,,rdb
Aula 1.OG rot,,,,DC01A03,,circulation_area,,292,,rdb
Aula 2.OG gelb,,,,DB02A02,,circulation_area,,335,,rdb
Aula 2.OG grün,,,,DA02A05,,circulation_area,,312,,rdb
Aula 2.OG rot,,,,DC02A03,,circulation_area,,291,,rdb
Aula EG gelb,,,,DBEGA01,,circulation_area,,378,,rdb
Aula EG grün,,,,DAEGA07,,circulation_area,,155,,rdb
Aula EG rot,,,,DCEGA03,,circulation_area,,642,,rdb
Aufbaulabor,,,,AH0105,ABL,drawing_room,,267,120,tiss rdb
Zeichensaal 7,,,,AG0306,ZS7,drawing_room,,,90,tiss
Zeichensaal Ella Briggs,,,,AFEG08,AFEG08,drawing_room,,,30,tiss
Zeichensaal CF 03 35,,,,CF0335,CF0335,drawing_room,,,20,tiss
Zeichensaal 1,,,,DA08E10,DA 08 E10,drawing_room,,,40,tiss
Zeichensaal 3,,,,DA07A05,DA07A05,drawing_room,,122,80,tiss rdb
Begleitraum Kuppelsaal,,,,AA0428,,event_room,,77,,rdb
Boecklsaal,,,,AA0162,,event_room,,122,,rdb
Festsaal,,,,AA0148,,event_room,,190,,rdb
Kuppelsaal,,,,AA0448,,event_room,,460,,rdb
TUtheSky,,,,BA11B09,,event_room,,230,,rdb
Kontaktraum,,,,CD0603,,event_room,,176,,rdb
Vortragsraum Bibliothek,,,,DD05B04,,event_room,,53,,rdb
Seminarraum Erzherzog Johann,,SemR Erzherzog Johann,,FB0513,,event_room,,32,,rdb
PC1,,,,AF0106,AF0106,lab,,,29,tiss
PC2,,,,AF0105,AF0105,lab,,,9,tiss
PC3,,,,AF0113,AF0113,lab,,,8,tiss
PC4,,,,AF0122,AF0122,lab,,,15,tiss
PC5,,,,AF0116,AF0116,lab,,,15,tiss
PC6,,,,AF0101,AF0101,lab,,,7,tiss
PC7,,,,AFEG06,AFEG 06,lab,,,29,tiss
PC8,,,,AFEG03,AFEG03,lab,,,13,tiss
Raumlabor,,,,ACU106,ACU 106,lab,,,20,tiss
Analytische Chemie Hörerlabor links,,,,BB05C01,BB05C01,lab,,,32,tiss
Analytische Chemie Hörerlabor rechts,,,,BB05C17,BB05C17,lab,,,32,tiss
Bioreaktorlabor,,,,BHEGE06,BHEGE06,lab,,,3,tiss
CAD-Labor Saal 1 und 2,,,,BD07B33,BD 07 D32,lab,,,60,tiss
